"YEAR","INDICATOR_NAME","DATA_VALUE"
2003,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.48252294675214
2004,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.53416239616327
2005,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.61588579216954
2006,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.92425376107783
2007,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.57124502036758
2008,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.94272633449667
2009,"Spring_Chlorophylla_Biomass_GOA_Satellite",2.13236089890004
2010,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.51197773712474
2011,"Spring_Chlorophylla_Biomass_GOA_Satellite",2.37237463778495
2012,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.71596188363983
2013,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.89750754688215
2014,"Spring_Chlorophylla_Biomass_GOA_Satellite",2.12421579943834
2015,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.40412689381132
2016,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.14175148140015
2017,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.402746544034
2018,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.76533059034358
2019,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.18846523649177
2020,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.46153312404498
2021,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.45188481113564
2022,"Spring_Chlorophylla_Biomass_GOA_Satellite",1.53674544475583
